# locator.tsv — Saul's fast resolver. Generated by build_index.py on 2026-06-06.
# Look up ONE line: awk -F'\t' '$1=="OR"' register/locator.tsv  (portable exact match; BSD grep
# has no -P). Never Read the whole file. Columns are TAB-separated.
# seed=1 -> file ships in this repo (offline). ranges = article-number BASES present as headings
# (e.g. base 269 covers 269a..). A base absent from ranges = not in this copy: say so and stop
# without reading (no claim/quote made). A base present still needs the file opened to confirm the
# exact article and quote it (Law 2) — every quote comes from a read; not every absence does.
abbrev	sr	file	rank	Stand	status	seed	arts	max	ranges
ArGV 2	822.112	cc-2000-244.md	verordnung	2026-02-01	in_force	0	43	55	1-6,8-17,19-20,23-25,27-33,36-41,43-44,46-47,49-51,53,55
ArGV 3	822.113	cc-1993-2553_2553_2553.md	verordnung	2024-09-01	in_force	0	39	41	1-18,20-39,41
ArGV 4	822.114	cc-1993-2564_2564_2564.md	verordnung	2015-05-01	in_force	0	0	0	-
ArGV 5	822.115	cc-2007-692.md	verordnung	2024-04-01	in_force	0	23	23	1-23
AsylG	142.31	cc-1999-358.md	bundesgesetz	2027-01-01	in_force	0	14	18	1-5,7-11,15-18
AsylV 1	142.311	cc-1999-359.md	andere	2026-01-01	in_force	0	3	6	1,6
AsylV 2	142.312	cc-1999-360.md	andere	2025-07-01	in_force	0	7	19	1,4,6-7,16,18-19
AsylV 3	142.314	cc-1999-361.md	andere	2025-04-01	in_force	0	6	15	3,9-10,13-15
AtraG	742.104	cc-1993-47_47_47.md	bundesgesetz	2019-12-01	in_force	0	7	22	1,4,11,13,17,21-22
AtraV	742.104.1	cc-2001-138.md	verordnung	2001-03-01	in_force	0	27	27	1-27
AuLaV	748.132.3	cc-2014-286.md	verordnung	2015-07-15	in_force	0	47	47	1-47
AufRBGer	173.110.132	cc-2006-835.md	reglement	2023-09-01	in_force	0	14	14	1-14
AufzV	930.112	cc-2016-26.md	verordnung	2016-04-20	in_force	0	11	11	1-11
AwG	143.1	cc-2002-441.md	bundesgesetz	2023-09-01	in_force	0	2	2	1-2
BAlV	910.19	cc-2011-340.md	verordnung	2024-05-15	in_force	0	13	17	1-6,8,10,12-13,15-17
BBG	412.10	cc-2003-674.md	bundesgesetz	2025-03-01	in_force	0	73	74	1-58,60-74
BBV	412.101	cc-2003-748.md	verordnung	2025-03-01	in_force	0	84	79	1-21,23-64,66-68,71-79
BDSV	814.020	cc-2003-599.md	verordnung	2022-01-01	in_force	0	6	6	1-6
BEG	957.1	cc-2009-450.md	bundesgesetz	2023-01-01	in_force	0	32	36	1-7,9-23,27-36
BEKJ	172.023	cc-2025-583.md	bundesgesetz	2025-10-01	in_force	0	27	38	1-18,25-28,31,35-38
BFSA	0.950.136.7	cc-2025-803.md	andere	2026-03-10	in_force	0	50	50	1-50
BG-HAÜ	211.221.31	cc-2002-639.md	bundesgesetz	2013-01-01	in_force	0	34	269	1-28,44,264,268-269
BG-KKE	211.222.32	cc-2009-379.md	bundesgesetz	2009-07-01	in_force	0	16	16	1-16
BG-RVUS	351.93	cc-1977-17_17_17.md	bundesgesetz	2019-03-01	in_force	0	27	38	1-3,5,7,11,15,18-35,37-38
BGA	152.1	cc-1999-354.md	bundesgesetz	2023-09-01	in_force	0	28	36	1-27,36
BGBB	211.412.11	cc-1993-1410_1410_1410.md	bundesgesetz	2014-01-01	in_force	0	87	96	1-7,9-15,17-21,23-47,49,51-67,69-81,83-87,90-96
BGBM	943.02	cc-1996-1738_1738_1738.md	bundesgesetz	2025-01-01	in_force	0	11	12	1-2,4-12
BGCITES	453	cc-2013-600.md	bundesgesetz	2023-09-01	in_force	0	30	30	1-30
BGF	923.0	cc-1991-2259_2259_2259.md	bundesgesetz	2023-07-01	in_force	0	26	29	1-10,12-19,21-27,29
BGFA	935.61	cc-2002-153.md	bundesgesetz	2025-07-01	in_force	0	35	37	1-6,8-14,16-37
BGG	173.110	cc-2006-218.md	bundesgesetz	2026-04-01	in_force	0	81	83	1-10,12-76,78-83
BGIAA	142.51	cc-2006-301.md	bundesgesetz	2025-06-15	in_force	0	2	3	1,3
BGLE	742.144	cc-2000-342.md	bundesgesetz	2014-03-01	in_force	0	15	15	1-15
BGMD	935.01	cc-2013-509.md	bundesgesetz	2021-04-01	in_force	0	8	8	1-8
BGMK	138.1	cc-2000-229.md	bundesgesetz	2019-12-02	in_force	0	8	8	1-8
BGRB	934.21	cc-1998-1202_1202_1202.md	bundesgesetz	2012-01-01	in_force	0	12	123	1-8,37-38,58,123
BGS	935.51	cc-2018-795.md	bundesgesetz	2023-09-01	in_force	0	146	146	1-146
BGSA	822.41	cc-2007-71.md	bundesgesetz	2023-09-01	in_force	0	19	22	1,3-8,11-22
BGST	745.2	cc-2011-565.md	bundesgesetz	2023-09-01	in_force	0	12	12	1-12
BGerR	173.110.131	cc-2006-834.md	reglement	2026-02-01	in_force	0	30	30	1-30
BGÖ	152.3	cc-2006-355.md	bundesgesetz	2023-11-01	in_force	0	29	31	1-15,17-26,31
BIFG	742.140	cc-2015-107.md	bundesgesetz	2022-01-01	in_force	0	9	11	1,3-5,7-11
BIV-FINMA	952.05	cc-2012-648.md	verordnung	2021-01-01	in_force	0	60	62	1-55,58-62
BIZMB	414.51	cc-2022-164.md	bundesgesetz	2022-04-01	in_force	0	14	14	1-14
BKSG	823.12	cc-2020-149.md	bundesgesetz	2020-01-01	in_force	0	5	5	1-5
BKSV	823.121	cc-2020-150.md	verordnung	2020-01-01	in_force	0	8	8	1-8
BMV	412.103.1	cc-2025-408.md	verordnung	2026-03-01	in_force	0	34	36	1-7,9-31,33-36
BPDV	172.220.111.4	cc-2017-793.md	verordnung	2025-02-01	in_force	0	67	68	1-4,6-68
BPG	172.220.1	cc-2001-123.md	bundesgesetz	2027-01-01	in_force	0	17	28	1-8,15-16,18,20-24,28
BPI	361	cc-2008-698.md	bundesgesetz	2025-06-15	in_force	0	15	15	1-15
BPR	161.1	cc-1978-688_688_688.md	bundesgesetz	2022-10-23	in_force	0	58	92	3-8,10,12,14-15,19-20,22-23,25-26,29-30,33,35-39,42-44,46-49,52-56,58,60-63,66,68-69,71-72,76-79,83-84,87-92
BPS	935.41	cc-2015-450.md	bundesgesetz	2021-12-01	in_force	0	40	40	1-40
BPV	172.220.111.3	cc-2001-319.md	andere	2027-01-01	in_force	0	12	18	1-3,6,8-9,12-16,18
BSG	747.201	cc-1976-725_724_724.md	bundesgesetz	2020-07-01	in_force	0	55	64	1-6,9-18,22-27,29-37,40,42-47,50-55,58-64
BSO	747.223.1	cc-1976-1338_1338_1338.md	verordnung	2022-05-01	in_force	0	0	0	-
BSV	747.201.1	cc-1979-337_337_337.md	verordnung	2022-01-01	in_force	0	1	1	1
BStG	641.411	cc-2007-385.md	bundesgesetz	2023-09-01	in_force	0	46	46	1-46
BStGerNR	173.713.151	cc-2010-824.md	reglement	2011-01-01	in_force	0	8	8	1-8
BStGerOR	173.713.161	cc-2010-825.md	andere	2025-09-01	in_force	0	21	38	1-2,4-12,15-17,19-24,38
BStKR	173.713.162	cc-2010-826.md	reglement	2026-01-01	in_force	0	22	22	1-22
BStV	641.411.1	cc-2007-386.md	verordnung	2022-01-01	in_force	0	24	24	1-24
BStatG	431.01	cc-1993-2080_2080_2080.md	bundesgesetz	2024-01-01	in_force	0	10	10	1-10
BStatV	431.011	cc-2025-318.md	verordnung	2025-06-01	in_force	0	48	49	1-21,23-49
BTrV	641.611.21	cc-2016-427.md	verordnung	2025-05-01	in_force	0	12	12	1-12
BURV	431.903	cc-1993-2253_2253_2253.md	verordnung	2025-06-01	in_force	0	3	3	1-3
BV	101	cc-1999-404.md	bundesverfassung	2024-03-03	in_force	1	171	196	1-61,64-65,68-82,89,91-94,96-101,104-105,107-109,111-112,114-119,124-125,127,129,132-134,136-138,140-196
BVG	831.40	cc-1983-797_797_797.md	bundesgesetz	2025-01-01	in_force	0	33	46	3-12,17,20,22,25-26,30-35,38-39,42-46
BVV 1	831.435.1	cc-2011-460.md	verordnung	2024-01-01	in_force	0	26	26	1-26
BVV 2	831.441.1	cc-1984-543_543_543.md	verordnung	2025-01-01	in_force	0	43	52	1,3,7,9,11,13,16,27-33,41-43,48,51-52
BVV 3	831.461.3	cc-1985-1778_1778_1778.md	verordnung	2025-01-01	in_force	0	8	9	1-4,6-9
BVVG	311.6	cc-2024-620.md	bundesgesetz	2025-01-01	in_force	0	5	5	1-5
BWIS	120	cc-1998-1546_1546_1546.md	bundesgesetz	2024-01-01	in_force	0	17	32	1,4,6,14,19-24,28-32
BZG	520.1	cc-2020-887.md	bundesgesetz	2026-01-01	in_force	0	100	100	1-100
BZP	273	cc-1948-485_473_421.md	bundesgesetz	2023-07-01	in_force	0	85	87	2-19,21-87
BankG	952.0	cc-51-117_121_129.md	bundesgesetz	2024-01-01	in_force	0	0	0	-
BankV	952.02	cc-2014-273.md	verordnung	2025-01-01	in_force	0	73	70	2-5,7-64,66-68,70
BauAV	832.311.141	cc-2021-384.md	verordnung	2024-01-01	in_force	0	124	124	1-124
BauPG	933.0	cc-2014-495.md	bundesgesetz	2023-09-01	in_force	0	38	38	1-38
BauPV	933.01	cc-2014-496.md	verordnung	2025-07-01	in_force	0	47	47	1-47
BeV	814.501.513	cc-2017-507.md	verordnung	2018-01-01	in_force	0	30	30	1-30
BehiG	151.3	cc-2003-667.md	bundesgesetz	2020-07-01	in_force	0	24	24	1-24
BehiV	151.31	cc-2003-668.md	verordnung	2021-01-01	in_force	0	27	27	1-27
BekV-RAB	221.302.34	cc-2017-529.md	verordnung	2017-10-01	in_force	0	6	6	1-6
BetmG	812.121	cc-1952-241_241_245.md	bundesgesetz	2023-09-01	in_force	0	28	37	3,9-14,17-18,26,29,37
BetmKV	812.121.1	cc-2011-362.md	verordnung	2023-01-23	in_force	0	89	89	1-89
BetmPV	812.121.5	cc-2021-217.md	verordnung	2021-05-15	in_force	0	35	35	1-35
BetmSV	812.121.6	cc-2011-364.md	verordnung	2023-04-01	in_force	0	45	48	1-34,38-48
BetmVV-EDI	812.121.11	cc-2011-363.md	verordnung	2026-03-13	in_force	0	8	8	1-8
BevSV	520.12	cc-2020-889.md	verordnung	2025-01-01	in_force	0	63	64	1-18,20-64
BewG	211.412.41	cc-1984-1148_1148_1148.md	bundesgesetz	2023-07-01	in_force	0	36	40	1-6,8,10,12-20,22-40
BewV	211.412.411	cc-1984-1164_1164_1164.md	verordnung	2024-03-01	in_force	0	17	22	1,4-7,9-12,15-22
BiGV	432.22	cc-2013-641.md	verordnung	2013-11-01	in_force	0	13	13	1-13
BiZG	410.2	cc-2017-41.md	bundesgesetz	2017-02-01	in_force	0	3	3	1-3
BÜPF	780.1	cc-2018-31.md	bundesgesetz	2023-09-01	in_force	0	47	47	1-47
BöB	172.056.1	cc-2020-126.md	bundesgesetz	2026-01-01	in_force	0	63	63	1-63
BüG	141.0	cc-2016-404.md	bundesgesetz	2023-09-01	in_force	0	52	52	1-52
BüV	141.01	cc-2016-405.md	verordnung	2019-07-09	in_force	0	31	32	1-2,4-32
CLNI 2012	0.747.206	cc-2024-302.md	andere	2025-03-01	in_force	0	22	22	1-22
CMNI	0.221.222.32	cc-2005-189.md	andere	2023-10-11	in_force	0	38	38	1-38
CMR	0.741.611	cc-1970-851_851_851.md	andere	2021-02-10	in_force	0	51	51	1-51
COTIF	0.742.403.1	cc-1985-505_505_505.md	andere	2007-01-01	in_force	0	7	8	1-3,5-8
CSV	128.51	cc-2025-169.md	verordnung	2025-04-01	in_force	0	18	19	1-17,19
CWÜ	0.515.08	cc-1998-335_335_335.md	andere	2020-07-02	in_force	0	0	0	-
CZV	741.521	cc-2007-437.md	verordnung	2022-07-01	in_force	0	28	28	1-28
CartV	814.912.21	cc-2004-726.md	verordnung	2012-06-01	in_force	0	17	30	1-15,30
ChKV	946.202.21	cc-2013-580.md	verordnung	2022-01-01	in_force	0	42	43	1-3,5-43
ChemG	813.1	cc-2004-724.md	bundesgesetz	2024-01-01	in_force	0	63	109	1-55,109
ChemGebV	813.153.1	cc-2005-469.md	verordnung	2026-01-01	in_force	0	8	8	1-8
ChemPICV	814.82	cc-2004-725.md	verordnung	2024-10-01	in_force	0	16	19	1-4,7-16,18-19
ChemRRV	814.81	cc-2005-478.md	verordnung	2027-01-01	in_force	0	21	24	1-3,5,7-20,22-24
ChemV	813.11	cc-2015-366.md	verordnung	2025-12-01	in_force	0	1	1	1
Covid-19-SBüG	951.26	cc-2020-982.md	bundesgesetz	2026-03-31	in_force	0	27	29	1-22,24-27,29
CyRV	120.73	cc-2020-416.md	verordnung	2021-04-01	in_force	0	18	18	1-18
DAA	0.142.392.68	cc-2008-115.md	andere	2008-03-01	in_force	0	17	17	1-17
DBG	642.11	cc-1991-1184_1184_1184.md	bundesgesetz	2026-01-01	in_force	0	16	18	1-13,15-16,18
DBV	930.113	cc-2016-27.md	verordnung	2016-04-20	in_force	0	8	9	1-5,7-9
DBZV	631.061	cc-2017-535.md	verordnung	2024-05-01	in_force	0	18	18	1-18
DGV	930.114	cc-2016-28.md	verordnung	2016-07-19	in_force	0	9	9	1-9
DRA	510.107.0	cc-1995-170_170_170.md	andere	2022-01-01	in_force	0	0	0	-
DSG	235.1	cc-2022-491.md	bundesgesetz	2025-07-07	in_force	1	77	74	1-74
DSV	235.11	cc-2022-568.md	verordnung	2025-12-01	in_force	0	47	47	1-47
DV-RAB	221.302.32	cc-2008-739.md	verordnung	2023-11-01	in_force	0	7	7	1-7
DZV	910.13	cc-2013-765.md	verordnung	2027-01-01	in_force	0	54	55	1-4,6-55
DesG	232.12	cc-2002-226.md	bundesgesetz	2025-07-01	in_force	0	46	53	1-17,19-31,33-36,39,41-45,47-48,50-53
DesV	232.121	cc-2002-183.md	verordnung	2025-07-01	in_force	0	36	44	1-6,8-12,14-19,21-32,34-35,39,41-44
DigiV	172.019.1	cc-2025-235.md	verordnung	2026-02-01	in_force	0	48	49	1-28,30-49
DoV	814.501.43	cc-2026-59.md	verordnung	2027-01-01	in_force	0	51	53	1-7,9-38,40-53
DüBV	916.171.1	cc-2007-836.md	verordnung	2019-01-01	in_force	0	8	9	1-7,9
DüV	916.171	cc-2023-711.md	verordnung	2026-01-01	in_force	0	44	45	1-31,33-45
EBG	742.101	cc-1958-335_341_347.md	bundesgesetz	2027-01-01	in_force	0	63	96	9-10,19-23,27,29-32,40-41,43-44,47-48,55,63-65,80-85,93,96
EBV	742.141.1	cc-1983-1902_1902_1902.md	verordnung	2026-07-01	in_force	0	43	37	1,3,11,15-17,22-26,29,32-37
EDAV-DS	916.443.10	cc-2015-843.md	verordnung	2026-09-03	in_force	0	4	4	1-4
EDAV-DS-EDI	916.443.106	cc-2015-845.md	verordnung	2026-03-03	in_force	0	12	13	1-5,7-13
EDAV-EU	916.443.11	cc-2015-846.md	verordnung	2025-07-01	in_force	0	4	4	1-4
EDAV-EU-EDI	916.443.111	cc-2015-847.md	verordnung	2025-03-26	in_force	0	5	5	1-5
EDAV-Ht	916.443.14	cc-2014-755.md	verordnung	2024-09-16	in_force	0	37	38	1-26,28-38
EESV	142.206	cc-2021-734.md	verordnung	2024-01-01	in_force	0	24	24	1-24
EFZ	412.101.221.49	cc-2021-641.md	verordnung	2026-01-01	in_force	0	26	26	1-26
EHSM-V	415.012	cc-2021-499.md	verordnung	2024-12-01	in_force	0	38	39	1-7,9-39
EIMG	941.27	cc-2011-902.md	bundesgesetz	2027-01-01	in_force	0	30	30	1-30
EIMV	941.272	cc-2012-832.md	verordnung	2023-01-01	in_force	0	8	9	1-2,4-9
EKBV	910.17	cc-2013-873.md	verordnung	2027-01-01	in_force	0	15	28	1-5,7,10,13-14,16-17,25-28
EKV-BLW	916.341.22	cc-2021-802.md	verordnung	2026-03-01	in_force	0	13	13	1-13
ELG	831.30	cc-2007-804.md	bundesgesetz	2026-01-01	in_force	0	10	10	1-10
ELV	831.301	cc-1971-37_37_37.md	verordnung	2025-01-01	in_force	0	32	59	1,7,10-11,13,22,24,29-30,32,35,37,41-47,49-55,57,59
EMBAG	172.019	cc-2023-682.md	bundesgesetz	2025-05-01	in_force	0	20	20	1-20
EMBAV	172.019.1	cc-2023-754.md	verordnung	2024-01-01	in_force	0	12	13	1-8,10-13
EMKG	941.31	cc-50-345_357_401.md	bundesgesetz	2023-07-01	in_force	0	35	59	3,5,9,11-12,14,16-20,22,26,31-42,44,49-54,57-59
EMKV	941.311	cc-50-363_375_420.md	verordnung	2024-01-01	in_force	0	4	4	1-4
EMRK	0.101	cc-1974-2151_2151_2151.md	andere	2022-09-16	in_force	0	50	59	1-22,29-37,40-45,47-59
EMmV	941.251	cc-2015-578.md	verordnung	2018-01-01	in_force	0	16	16	1-16
ENSIG	732.2	cc-2007-775.md	bundesgesetz	2027-01-01	in_force	0	29	71	1-26,70-71
ENSIV	732.21	cc-2008-794.md	verordnung	2011-11-01	in_force	0	19	19	1-19
EOG	834.1	cc-1952-1021_1046_1050.md	bundesgesetz	2025-01-28	in_force	0	13	34	1,16-18,21,25,33-34
EOV	834.11	cc-2005-187.md	andere	2025-01-01	in_force	0	46	47	1-35,37-47
EPDFV	816.12	cc-2024-461.md	verordnung	2024-10-01	in_force	0	10	10	1-10
EPDG	816.1	cc-2017-203.md	bundesgesetz	2024-10-01	in_force	0	27	27	1-27
EPDV	816.11	cc-2017-204.md	verordnung	2024-10-01	in_force	0	44	44	1-44
EPDV-EDI	816.111	cc-2017-205.md	verordnung	2025-09-01	in_force	0	8	9	1-2,4-9
EPÜ 2000	0.232.142.2	cc-2007-849.md	andere	2024-10-21	in_force	0	179	178	1-68,70-158,164-178
ERV	952.03	cc-2012-629.md	verordnung	2025-01-24	in_force	0	109	120	1-2,4-44,47-56,59-94,100-103,106,110-111,113-120
ERV-BVGer	173.320.6	cc-2020-547.md	andere	2020-08-01	in_force	0	11	11	1-11
ESV	814.912	cc-2012-329.md	verordnung	2025-12-01	in_force	0	35	36	1-25,27-36
EUMETSAT	0.192.110.942.6	cc-1992-1006_1006_1006.md	andere	2014-06-11	in_force	0	22	24	1-14,16-22,24
EUTELSAT	0.192.110.978.41	cc-1992-1432_1432_1432.md	andere	2004-10-13	in_force	0	26	26	1-26
EiV	916.371	cc-2003-735.md	verordnung	2025-01-01	in_force	0	7	12	2-3,6-7,9,11-12
EichGebV	941.298.1	cc-2005-776.md	verordnung	2025-01-01	in_force	0	13	15	2-7,9-15
EigVV	211.413.1	cc-27-215_211_275.md	verordnung	2003-01-01	in_force	0	25	23	1-23
EleG	734.0	cc-19-259_252_257.md	bundesgesetz	2026-04-01	in_force	0	28	61	1-4,13,15,20,25-36,38-39,41,61
EmGvV	811.217	cc-2024-218.md	verordnung	2024-07-01	in_force	0	9	9	1-9
EmbG	946.231	cc-2002-564.md	bundesgesetz	2023-07-01	in_force	0	7	7	1-7
EnEV	730.02	cc-2017-765.md	verordnung	2026-07-24	in_force	0	14	18	1-9,11-13,17-18
EnFV	730.03	cc-2017-766.md	verordnung	2026-01-01	in_force	0	107	109	1-34,36-61,63-109
EnG	730.0	cc-2017-762.md	bundesgesetz	2026-04-01	in_force	0	77	77	1-77
EnV	730.01	cc-2017-763.md	andere	2026-01-01	in_force	0	15	16	1-14,16
EntG	711	cc-47-689_701_723.md	bundesgesetz	2021-01-01	in_force	0	95	122	1-40,42-45,47-49,51,53-57,64-74,80,82,86,88-107,109,112-113,117,119-122
EntsG	823.20	cc-2003-231.md	bundesgesetz	2024-01-01	in_force	0	1	2	2
EntsV	823.201	cc-2003-232.md	verordnung	2025-01-01	in_force	0	9	8	1-5,7-8
EpG	818.101	cc-2015-297.md	bundesgesetz	2025-08-01	in_force	0	88	88	1-88
EpV	818.101.1	cc-2015-298.md	verordnung	2025-01-01	in_force	0	109	109	1-109
ExpaV	642.118.3	cc-2000-471.md	verordnung	2021-01-01	in_force	0	3	5	2-3,5
EÖBV	211.435.1	cc-2018-29.md	verordnung	2024-01-01	in_force	0	28	28	1-28
EÖBV-EJPD	211.435.11	cc-2018-30.md	verordnung	2022-03-15	in_force	0	21	21	1-21
FAV	784.101.2	cc-2016-24.md	verordnung	2024-08-15	in_force	0	2	2	1-2
FAV 4	741.435.4	cc-1986-1889_1889_1889.md	verordnung	1998-01-01	in_force	0	0	0	-
